search_term,text,href,company_text,location_text,datetime,time_ago
Data-Analyst,Data Analyst Staff,https://www.jobstreet.co.id/en/job/data-analyst-staff-4502557,PT Asuransi Umum Bumiputera Muda 1967,Jakarta Selatan,2023-10-18 03:40:30,18d ago
Data-Analyst,Data Analyst Bali,https://www.jobstreet.co.id/en/job/data-analyst-bali-4501838,PT Adi Surya Sempurna,Jakarta Pusat,2023-10-17 08:37:19,19d ago
Data-Analyst,Retail Data Analyst Manager,https://www.jobstreet.co.id/en/job/retail-data-analyst-manager-4501451,PT Duta Intiguna Yasa (MR DIY),Jakarta Raya,2023-10-17 05:49:51,19d ago
Data-Analyst,Pricing Analyst,https://www.jobstreet.co.id/en/job/pricing-analyst-4502159,PT Global Unggul Mandiri (Paxel),Kuta,2023-10-17 11:36:07,19d ago
Data-Analyst,Data Analyst,https://www.jobstreet.co.id/en/job/data-analyst-4500199,PT Eka Bogainti,Jakarta Raya,2023-10-16 07:41:50,20d ago
Data-Analyst,"Manager Support (IT-Data Analyst, Fullfillment/Warehouse, GA)",https://www.jobstreet.co.id/en/job/manager-support-it-data-analyst-fullfillment-warehouse-ga-4499847,PT. GAWE BECIK NADHAH ANUGRAH,Jakarta Raya,2023-10-16 04:55:07,20d ago
Data-Analyst,Data Engineer,https://www.jobstreet.co.id/en/job/data-engineer-4507831,Ann's Bakehouse,Jakarta Timur,2023-10-24 04:13:09,12d ago
Data-Analyst,Store Demand Planner,https://www.jobstreet.co.id/en/job/store-demand-planner-4511361,PT Griya Miesejati (Bakmi GM),Jakarta Barat,2023-10-27 03:33:40,9d ago
Data-Analyst,Data Analytics Manager,https://www.jobstreet.co.id/en/job/data-analytics-manager-4511816,PT Ewaysindo Makmur (Jakarta),Jakarta Pusat,2023-10-27 08:06:08,9d ago
Data-Analyst,Business System Analyst,https://www.jobstreet.co.id/en/job/business-system-analyst-4510509,MODENA INDONESIA,Jakarta Raya,2023-10-26 06:55:40,10d ago
Data-Analyst,Merchandising Analyst Manager,https://www.jobstreet.co.id/en/job/merchandising-analyst-manager-4508759,PT Matahari Department Store Tbk,Tangerang,2023-10-25 01:53:35,11d ago
Data-Analyst,Business Development Supervisor,https://www.jobstreet.co.id/en/job/business-development-supervisor-4508404,PT Serba Mulia Auto,Jakarta Utara,2023-10-24 09:11:20,12d ago
Data-Analyst,Business Data Analyst,https://www.jobstreet.co.id/en/job/business-data-analyst-4497618,PT CIMB Niaga Tbk,Jakarta Selatan,2023-10-12 10:17:31,24d ago
Data-Analyst,SALES DATA  ANALYST,https://www.jobstreet.co.id/en/job/sales-data-analyst-4494028,PT Asia Health Energi Beverages,Jakarta Selatan,2023-10-10 03:55:49,26d ago
